Espacialidades,Taxa de atividade - 18 anos ou mais 2010,Taxa de desocupação - 18 anos ou mais 2010,% da população em domicílios com banheiro e água encanada 2010,% da população em domicílios com coleta de lixo 2010,% da população em domicílios com energia elétrica 2010,Esperança de vida ao nascer 2010,PEA - 18 anos ou mais 2010,Taxa de fecundidade total 2010,Razão de dependência 2010,Taxa de envelhecimento 2010,Taxa de analfabetismo - 18 anos ou mais 2010,% de 18 anos ou mais com fundamental completo 2010,Renda per capita 2010,% de pobres 2010
Jequeri (MG),54.86,5.71,96.24,90.04,97.97,72.61,5037,1.71,51.1,11.1,17.33,24.63,348.73,30.37
Jequitaí (MG),63.35,9.19,76.56,80.32,98.52,72.79,3488,2.39,50.39,8.94,21.65,36.34,345.53,27.69
Jequitibá (MG),68.29,4.51,83.37,85.15,99.09,76.26,2533,2.1,48.8,10.73,10.11,33.03,1007.03,17.65
Jequitinhonha (MG),64.11,6.21,74.68,91.16,91.27,73.99,10336,2.13,61.26,10.77,27.33,31.63,376.03,32.53
Jesuânia (MG),64.77,4.42,99.47,99.7,99.95,74.88,2282,1.82,44.35,9.82,11.64,29.3,533.26,10.43
Joaíma (MG),61.7,10.08,77.65,95.15,94.6,72.36,5925,2.7,63.52,9.75,31.13,27.47,281.18,39.5
Joanésia (MG),53.05,7.43,95.59,85.02,99.12,73.2,2099,1.57,54.73,13.38,20.62,25.81,369.24,26.46
João Monlevade (MG),63.14,9.58,99.33,99.19,100,75.93,34597,1.44,42.24,8.58,4.34,59.16,724.4,6.46
João Pinheiro (MG),67.35,6.54,93.88,98.55,97.92,72.25,20812,2.32,47.47,6.57,11.7,46.49,562.24,12.24
Joaquim Felício (MG),58.65,3.01,85.12,88.22,96.31,74.44,1760,2.48,49.48,9.27,16.69,31.03,433.58,20.21
Jordânia (MG),61.24,7.11,76.9,97.93,93.22,72.82,4274,2.74,56.09,10.23,26.62,32.99,362.77,27.06
José Gonçalves de Minas (MG),72.43,7.8,85.86,91.43,99.26,70.81,2100,2.06,52.22,4.94,21.27,35.11,328.27,21.85
Josenópolis (MG),67.89,13.2,66.5,85.47,83.32,71.94,1813,2.86,69.3,7.1,32.11,26.63,232.47,37.92
José Raydan (MG),66.58,8.84,84.42,95.82,98.51,72.94,1958,1.79,58.04,10.65,24.55,26.62,327.01,29.47
Juatuba (MG),65.85,8.53,93.35,93.27,99.91,75.94,10139,2.1,45.18,6.08,9.14,51.52,517.18,12.24
Juiz de Fora (MG),66.51,7.45,98.48,99.13,99.77,75.65,261632,1.56,39.54,9.25,3.4,64.97,1050.88,5.48
Juramento (MG),70.01,6.69,86.47,96.11,98.83,73.48,1987,1.82,49.89,8,17.4,45.53,335.93,20.77
Juruaia (MG),78.43,1.34,99.68,99.89,99.79,76.61,5224,2.01,43.22,7.52,6.89,35.17,1122.1,3.45
Juvenília (MG),45.43,9.78,65.18,63.18,92.14,71.57,1647,2.58,58.47,7.15,25.36,34.14,223.32,47.28
Ladainha (MG),54.45,5.09,63.78,90.53,94.27,70.26,5650,2.43,66.95,7.77,32.37,24.08,226.72,50.74
Lagamar (MG),59.63,4.95,97.59,96.64,99.15,75.31,3361,2.1,44.73,10.29,11.71,43.32,592.95,9.36
Lagoa da Prata (MG),71.46,5.29,99.23,99.6,99.92,74.89,23676,2.02,41.62,6.92,6.87,47.13,707.01,4.63
Lagoa dos Patos (MG),70.65,7.03,80.81,95.26,97.68,71.36,1971,2.64,52.97,7.76,17.42,36.03,321.11,24.57
Lagoa Dourada (MG),61.64,4.72,98.66,98.66,99.68,74.68,5283,1.62,46.62,7.89,6.27,30.99,522.62,18.33
Lagoa Formosa (MG),66.9,3.58,96.34,99.56,99.98,74.91,8564,1.87,44.56,10.28,11.65,35.98,693.25,5.61
Lagoa Grande (MG),66.91,6.34,94.03,98.47,99.1,73.72,4035,2.61,46.84,6.67,11.99,38.03,543.58,12.74
Lagoa Santa (MG),72.26,5.37,97.59,98.38,99.96,76.43,27497,1.79,42.7,7.07,4.94,62.45,1089.96,4.37
Lajinha (MG),62.35,3.02,99.43,95.43,99.64,73.6,8511,2.28,49.44,8.36,18.27,36.02,482.87,17.51
Lambari (MG),67.81,5.81,99.68,99.59,99.84,77.23,9627,1.89,47.09,10.13,7.96,44.34,597.16,10.21
Lamim (MG),61.51,4.45,95.33,93.69,99.23,74.7,1505,1.59,53.76,11.91,14.18,32.49,386.1,25.13
Laranjal (MG),58.13,1.99,99.71,99.47,99.68,76.42,2906,1.49,42.24,11.88,11.26,45.63,601.49,8.34
Lassance (MG),69.34,8.57,72.77,92.49,97.99,72.71,2958,2.86,54.86,7.62,16.16,33.07,364.3,22.5
Lavras (MG),67.15,5.41,98.21,99.28,99.95,77.8,46041,1.62,40.35,8.33,4.35,61.84,889.65,4.35
Leandro Ferreira (MG),66.46,2.71,78.31,98.67,99.52,77.49,1548,2.19,48.52,10.89,12.56,37.47,649.92,6.61
Leme do Prado (MG),60.43,4.87,92.14,95.73,99.33,71.73,1914,2.12,50.97,6.64,18.99,42.9,338.71,21.71
Leopoldina (MG),62.93,6.84,99.23,97.87,99.92,77.04,23876,1.82,45.4,10.54,7.41,50.56,609.5,10.91
Liberdade (MG),57.8,4.57,96.57,99.02,95.03,75.01,2308,1.66,47.35,11.49,15.87,32,546.79,17.73
Lima Duarte (MG),63.48,6.18,95.53,98.04,98.1,76.68,7581,1.89,46.25,10.58,11.7,40.03,645.22,14.08
Limeira do Oeste (MG),64.45,9.59,93.8,96.93,96.69,75.04,3232,2.34,41.92,7.85,13.57,45.61,595.92,10.96
Lontra (MG),61.15,6.14,72.58,86.52,99.44,72.61,3455,2.16,54.02,9.21,24.16,38.98,312.77,30.93
Luisburgo (MG),69.53,1.14,98.18,99.81,99.65,73.53,2973,2.14,51.53,7.65,16.07,24.4,355.95,32.91
Luislândia (MG),55.8,11.38,64.18,89.83,95.5,72.96,2228,2.48,59.24,7.52,21.44,27.58,273.73,45.13
Luminárias (MG),64.41,1.1,97.77,99.21,99.51,74.27,2490,2.1,46.74,8.93,9.95,36.55,474.29,9.89
Luz (MG),69.07,5.06,98.59,99.64,99.93,75,8930,1.93,43.16,9.4,8.6,46.14,720.88,5.62
Machacalis (MG),59.18,10.86,91.57,95.61,96.79,71.96,2827,2.56,58.08,11.25,25.28,35.59,350.63,25.28
Machado (MG),70.36,4.74,99.62,99.68,99.85,75.9,19428,2,45.15,7.65,8.59,44.91,701.58,7.62
Madre de Deus de Minas (MG),60.97,9.91,98.94,98.02,99.62,76.38,2184,1.64,43.35,9.05,7.29,45.78,508.21,16.79
Malacacheta (MG),60.34,6.81,76.31,86.2,96.51,71.05,7485,2.25,58.13,9.58,27.59,33.05,353.28,34.45
Mamonas (MG),53.45,4.93,90.76,86.53,99.76,71.73,2487,1.65,47.79,11.85,30.65,25.96,269.87,32.8
Manga (MG),59.43,11.24,78.55,97.74,96.34,72.96,7279,2.64,63.26,7.91,25.7,36.18,387.71,43.56
Manhuaçu (MG),70.34,4.1,98.03,96.45,99.81,75.35,38751,2.22,47.85,6.91,9.17,42.62,592.99,11.28
Manhumirim (MG),66.78,4.85,99.35,98.56,99.72,75.74,10002,2,50.29,8.87,13.65,41.42,547.24,13.53
Mantena (MG),59.2,7.51,95.62,97.32,98.75,73.16,11593,2.08,49.04,10.07,16.45,39.69,505.08,19.7
Maravilhas (MG),70.55,7.78,89.51,97.41,99.52,75.7,3523,1.89,43.03,6.41,8.49,38.13,442.51,9.44
Mar de Espanha (MG),67.72,1.99,98.92,98.03,100,74.51,5899,1.59,44.87,10.43,8.47,40.2,598.93,5.73
Maria da Fé (MG),64.45,6.81,98.07,98.61,99.78,75.53,6452,1.86,46.1,8.12,8.39,41.67,445.11,17.14
Mariana (MG),66.03,9.69,96.32,95.34,99.34,77.43,25300,1.65,41.75,6.03,6.97,59.47,641.84,11.72
Marilac (MG),50.62,7.28,97.77,79.22,99.69,71.86,1403,2.21,60.05,10.07,21.24,32.12,354.33,20.16
Mário Campos (MG),68.59,8.05,98.1,97.78,99.72,74.99,6141,2.12,46.46,5.57,8.81,43.84,551.93,11.14
Maripá de Minas (MG),57.36,1.23,100,100,100,75.84,1175,1.86,46.66,11.59,11.2,34.5,510.92,5.84
Marliéria (MG),57.47,10.12,95.47,98.01,97.81,75.29,1630,2.38,50.94,10.12,12.1,36.01,401.74,13.16
Marmelópolis (MG),53.29,3.89,99.48,99.52,99.07,73.36,1130,1.71,44.36,9.1,11.06,33.76,367.73,23.44
Martinho Campos (MG),65.51,6.69,97.99,94.82,99.95,75.61,5942,2.32,46.86,9.44,9.52,35.57,579.07,9.77
Martins Soares (MG),70.7,2.38,98.72,98.58,99.27,73.53,3473,2.19,49.28,7.42,16.85,31.48,376.88,17.53
Mata Verde (MG),58.63,6.85,92.25,98.19,98.7,69.92,3072,2.4,55.89,8.93,33.04,28.57,298.19,34.59
Materlândia (MG),48.27,9.69,69.1,80.55,95.32,71.16,1492,2.12,60.38,11.84,24.81,27.68,255.52,38.1
Mateus Leme (MG),63.05,6.69,94.9,91.01,99.62,75.36,12272,1.97,46.68,7.55,8.33,47.86,579.23,12.99
Mathias Lobato (MG),48.58,15.43,98.95,61.46,98.96,72.71,1035,2.63,56.6,7.21,22.66,30.8,326.18,34.68
Matias Barbosa (MG),63.71,6.69,99.72,97.53,99.77,76.73,6269,1.93,43.38,9.44,6.98,47.26,633.76,10.06
Matias Cardoso (MG),62.43,10.16,60.89,67.36,92.9,72.96,3765,3.13,62.29,5.87,24.92,33.47,303,39.94
Matipó (MG),64.48,5.39,97.03,94,99.67,71.8,7533,2.62,54.96,7.18,16.11,30.76,403.48,19.71
Mato Verde (MG),67.29,4.98,84.65,93.61,99.22,72.33,6095,1.71,45.28,9.27,23.05,36.87,343.76,23.96
Matozinhos (MG),71.63,9.35,98.09,99.68,100,76.82,17298,1.86,42.17,6.54,6.07,54.46,584.15,6.75
Matutina (MG),56.65,1.94,98.12,98.83,99.6,76.53,1607,2.06,48.01,13.13,12.39,33.44,820.03,4.53
Medeiros (MG),70.85,2.31,99.51,99.79,99.88,76.04,1751,2.09,44.89,7.72,6.4,34.3,715.52,4.78
Medina (MG),57.09,7.32,81.68,95.34,98.7,74.27,8057,2.25,58.21,10.27,24.35,31.85,388.82,29.94
Mendes Pimentel (MG),49.93,7.39,93.6,96.2,98.96,71.09,2279,2.08,49.78,10.6,26.08,30.56,372.96,23.99
Mercês (MG),56.35,4.15,97.41,99.47,99.54,74.85,4284,1.96,48.79,11.61,15,33.93,561.75,18.97
Mesquita (MG),59.59,8.41,97.3,84.9,98.33,72.76,2592,1.47,51.46,11.29,20.37,31.47,424.12,19.12
Minas Novas (MG),68.19,4.59,69.47,82.96,97.74,73.14,13413,2.35,54.31,5.93,25.52,34.9,334.06,28.49
Minduri (MG),64.46,13.67,99.49,95.22,99.39,73.32,1769,1.77,45.62,9.17,8.69,40.97,404.95,18.74
Mirabela (MG),62.7,7.76,84.26,78.49,98.47,72.61,5531,2.22,53.13,8.97,18.91,39.86,326.06,29.25
Miradouro (MG),59.73,5.63,96.26,99.27,99.91,74.64,4419,1.91,46.9,9.43,14.66,32.74,443.39,23.09
Miraí (MG),57.45,2.63,99.68,97.63,99.96,75.19,5772,1.93,45.59,9.83,12.03,37.96,493.91,9.96
Miravânia (MG),56.4,7.4,68.42,86.49,97.1,71.88,1611,2.4,63.11,8.95,28.17,29.66,235.64,41.15
Moeda (MG),59.14,3.93,97.28,94.68,100,73.01,2002,1.88,53.89,12.41,8.74,30.94,477.77,11.01
Moema (MG),72.38,3.4,99.33,99.19,99.79,75.87,3732,2.18,43.99,8.88,6.91,45.4,634.04,2.48
Monjolos (MG),61.2,8.84,89.29,78.08,98.5,74.16,994,2.13,52.75,9.83,17.29,37.57,360.58,23.8
Monsenhor Paulo (MG),71.95,3.24,99.95,98.9,100,75.32,4256,2.04,44.85,8.54,11.9,45.32,555.78,5.17
Montalvânia (MG),53.71,4.67,71,84.55,97.61,72.96,5617,1.88,58.04,9.42,23.8,33.41,305.88,38.23
Monte Alegre de Minas (MG),63.77,5.36,99.5,98.63,99.75,75.86,9251,2.44,45.28,10.27,12.04,36.13,619.1,6.63
Monte Azul (MG),60.55,7.13,80.6,94.79,99.44,73.63,9654,1.62,46.44,10.13,24.34,35.81,358.13,29.79
Monte Belo (MG),69.95,1.51,98.88,98.77,100,75.82,6764,2.08,43.8,10.11,11.38,34.2,539.84,11.62
Monte Carmelo (MG),69.24,4.61,98.2,98.64,99.83,77.1,23083,2.22,41.08,6.9,8.09,44.32,689.45,6.85
Monte Formoso (MG),52.37,6.64,64.83,98.53,95.94,70.92,1429,3.01,74.64,8.27,31.94,21.37,206.62,55.76
Monte Santo de Minas (MG),64.43,2.16,99.44,99.86,99.92,77.46,10077,1.78,46.48,11.1,13.43,40.41,584.09,3.68
Montes Claros (MG),69.85,9.5,95.22,98.6,99.66,77.07,179756,1.62,41.93,6.07,6.64,64.59,650.62,11.99
Monte Sião (MG),82.43,1.38,92.41,99.19,99.95,77.69,13068,1.69,39.4,7.65,7.6,40.76,760.69,3.74
Montezuma (MG),72.36,2.9,72.42,91.04,97.6,73.55,3475,2.35,56.94,7.38,24.67,26.75,308.78,28.77
Morada Nova de Minas (MG),69.95,2.78,98.13,94.97,98.7,74.79,4154,2.2,47.2,9.04,9.81,39.62,577.61,6.84
Morro da Garça (MG),54.63,6.62,95.17,83.76,100,73.97,1023,2.21,51.48,9.36,11.45,37.36,376.88,19.13
Morro do Pilar (MG),57.43,6.49,89.04,83.27,97.25,73.55,1386,2.12,51.54,11.39,25.39,25.93,382.62,21.5
Munhoz (MG),62.52,3.25,98.54,100,99.72,74.25,2789,1.89,44.14,7.37,11.15,32.69,412.79,20.98
Muriaé (MG),67.67,5.08,98.32,99.42,99.95,76.18,50832,1.6,42.13,8.99,8.03,47.74,758.46,7.03
Mutum (MG),62.81,3.35,96.46,89.41,98.96,74.3,11945,2.01,50.31,9.62,19.43,32.08,415.41,22.42
Muzambinho (MG),69.65,3.7,99.95,98.94,99.77,76.51,10609,1.84,43.55,10.15,6.53,51.02,719.94,5.16
Nacip Raydan (MG),53.4,3.96,91.36,86.75,96.92,74.85,1137,2.43,61.25,11.6,24.11,22.42,429.34,30.08
Nanuque (MG),65.48,11.02,93.66,95.24,99.5,76.02,19007,2.29,50.91,9.91,16.57,48.27,505.55,14.89
Naque (MG),61.2,11.7,97.7,92.14,99.67,74.32,2621,2.03,50.9,7.81,16.74,42.9,408.75,17.38
Natalândia (MG),67.34,4.57,91.74,96.88,99.53,75.78,1501,2.58,50.39,7.2,15.48,35.86,431.11,13.4
Natércia (MG),69.45,1.99,97.74,100,99.93,73.28,2507,2.09,44.7,12.17,10.17,40.77,541.69,8.16
Nazareno (MG),61.22,3.28,99.44,98.42,99.58,74.82,3466,2.06,47.51,8.85,9.49,43.09,491.13,14.17
Nepomuceno (MG),67.49,6.01,97.43,98.29,99.56,74.3,12528,1.88,46.02,9.03,11.97,36.77,480.79,12.71
Ninheira (MG),48.22,5.59,64.62,97.03,96.71,72.01,3159,2.02,54.49,8.88,37.61,22.39,210.17,47.71
Nova Belém (MG),58.9,3.8,87.08,91.57,99.29,71.06,1490,2.47,50.3,6.56,25.99,28.77,265.9,40.25
Nova Era (MG),61.81,12.42,96.8,99.33,99.8,74.48,7831,1.99,45.73,8.77,7.25,49.74,532.58,13.01
Nova Lima (MG),71.01,4.95,97.72,99.58,99.7,78.1,43438,1.84,37.79,7.01,3.01,65.96,1731.84,2.84
Nova Módica (MG),55.21,7.83,95.43,98.51,99.11,71.72,1441,2.86,57.65,11.48,26.1,31.55,355.66,28.74
Nova Ponte (MG),69.3,5.13,99.42,99.23,99.9,75.08,6191,2.56,43.52,5.62,9.44,42.05,771.68,5.74
Nova Porteirinha (MG),71.04,8.05,88.86,87.15,99.17,73.63,3536,2.17,48.67,6.3,20.08,35.57,302.09,24.2
Nova Resende (MG),72.65,1.11,99.11,98.29,99.72,75.33,8037,2.17,44.74,7.59,8.55,32.32,576.41,8.58
Nova Serrana (MG),83.91,2.04,98.75,99.77,99.69,76.82,43134,1.93,38.04,2.94,5.12,47.48,659.74,2.81
Nova União (MG),64.24,6.11,95.77,95.01,98.14,74.06,2520,1.92,47,9.04,13.39,33.72,387.68,16.73
Novo Cruzeiro (MG),60.44,5.3,56.23,79.74,94.44,72.83,11397,2.47,63.84,7.83,30.44,26.75,264.66,42.32
Novo Oriente de Minas (MG),58.28,11.01,68.95,90.87,82.34,70.26,3977,2.28,61.29,10.64,34.02,25.05,274.37,42.67
Novorizonte (MG),61.9,3.69,57.5,95.52,98.83,73.26,2074,2.63,61.66,10.96,23.52,27.09,299.95,26.98
Olaria (MG),52.41,2.23,81.91,97.72,99.42,74.37,781,1.67,45.29,11.34,18.6,26.01,423.44,11.54
Olhos-D'Água (MG),76.49,3.45,83.16,98.98,98.03,73.72,2595,2.33,53.47,5.56,19.72,31.42,348.9,25.92
Olímpio Noronha (MG),61.88,5.86,99.81,99.86,99.85,73.56,1147,1.78,47.44,10.11,15.21,38.15,475.23,9.9
Oliveira Fortes (MG),57.94,8.63,97.18,94.72,100,72.61,891,1.88,43.45,9.37,17.48,29.07,369.25,19.28
Oliveira (MG),67.14,4.84,99.25,99.45,100,75.51,19597,1.78,43.9,9.46,6.46,43.7,588.2,6.88
Onça de Pitangui (MG),69.6,3.33,95.94,98.45,99.73,73.33,1451,2.64,53.98,8.81,11.89,32.79,446.23,17.23
Oratórios (MG),59.56,6.2,99.59,98.25,99.84,74.42,1923,2.23,48.63,9.1,16.9,32.73,395.74,14.94
Orizânia (MG),43.31,7.09,98,95.98,99.96,71.67,2088,2.19,52.07,7.11,17.33,21.78,247.35,44.78
Ouro Branco (MG),68.59,7.95,98.72,99.12,99.95,77.31,17695,1.62,36.23,4.75,4.98,62.2,866.02,5.91
Ouro Fino (MG),69.75,3.34,97.95,100,99.64,76.66,16552,1.7,44.4,10.37,9.11,45.47,635.38,6.48
Ouro Preto (MG),68.68,7.84,98.16,98.8,99.67,75.03,34931,1.54,42.34,7.56,5.23,58.37,710.55,9.05
Ouro Verde de Minas (MG),47.81,9.34,82.07,94.71,99.36,72.35,1902,2.05,61.94,10.87,30.04,29.03,298.76,38.44
Padre Carvalho (MG),63.75,1.24,67.7,57.8,93.99,72.71,2286,2.56,61.47,5.86,29.02,30.64,286.32,31.27
Padre Paraíso (MG),50.07,10.25,76.54,91.34,97.65,72.83,6169,2.13,62.48,9.77,24.6,30.21,253.77,46.43
Paineiras (MG),64.67,2.82,95.92,91.06,98.4,74.41,2269,1.66,45.95,12.46,11.67,30.98,589.16,7.47
Pains (MG),67.58,3.5,99.16,98.86,100,77.43,4052,1.86,44.55,10.23,7.89,41.84,690.97,5.69
Pai Pedro (MG),50.29,6.44,44.29,97.23,96.43,70.62,1944,2.15,53.73,7.53,34.6,30.8,203.93,45.47
Paiva (MG),59.45,5.29,99.62,93.63,99.65,75.72,723,1.33,45.61,14.18,13.74,35.84,476.35,11.05
Palma (MG),51.62,5.32,99.66,97.51,99.95,75.45,2580,1.53,46.95,12.44,11.57,44.68,494.63,16.36
Palmópolis (MG),71.63,7.48,75.26,91.58,93.19,69.29,3370,2.46,56.81,10.76,32.41,24.15,259.75,35.57
Papagaios (MG),69,5.46,97.67,97.64,99.83,74.96,6571,2.22,47.79,5.71,9.94,42.72,455.96,16.28
Paracatu (MG),70.32,7.32,95.04,99.12,99.58,76.22,40403,2.33,45.95,5.5,8.14,55.61,637.8,9.34
Pará de Minas (MG),71.91,4.49,97.84,99.73,99.97,75.87,43961,1.56,40.99,7.23,4.13,50.46,686.42,3.74
Paraguaçu (MG),68.11,3.49,99.87,99.85,99.64,75.98,10216,1.82,44.85,10.16,7.7,47.37,587.36,6.84
Paraisópolis (MG),66.24,5.6,99.81,99.12,99.79,76.11,9381,2.15,44.74,9.41,8.78,51.62,592.61,9.52
Paraopeba (MG),72.21,8.72,94.69,98.2,99.47,72.55,11358,2.05,43.62,6.33,6.51,47.76,530.79,11.93
Passabém (MG),60.62,4.37,95.36,93.86,98.87,72.23,802,1.49,48.53,13.99,19.07,32.81,405.19,15.05
Passa Quatro (MG),65.31,5.34,95.98,98.99,99.82,76.59,7425,2.07,43.72,8.64,6.08,47.71,561.44,10.24
Passa Tempo (MG),58.61,3.83,98.98,96.21,99.65,73.46,3631,1.44,43.73,11.66,8.18,36.77,535.96,12.25
Passa-Vinte (MG),67.02,2.97,97.7,100,97.09,73.53,1017,1.77,47.45,11.3,14.31,32,493.38,11.88
Passos (MG),64.53,4.54,98.39,99.81,99.93,78.15,50610,1.6,42.2,8.41,5.84,52.48,802.97,4.42
Patis (MG),52.69,17.31,74.01,98.88,96.77,72.23,1899,2.65,55.4,7.85,25.44,31.54,244.72,38.04
Patos de Minas (MG),70.09,5.53,99.05,99.65,99.86,76.31,72277,1.6,39.45,7.98,5.69,57.58,843.57,4.55
Patrocínio do Muriaé (MG),61.9,5.27,99.15,98.34,99.78,72.78,2482,1.69,46.82,12.18,10.27,40.68,590.26,10.36
Patrocínio (MG),71.31,4.87,98.19,99.21,99.57,76.14,41736,2.08,43.69,7.11,6.92,48.46,720.59,5.59
Paula Cândido (MG),57.75,2.98,93.4,98.85,99.57,74.38,3831,2.16,49.41,10.07,10.65,32.15,407.91,22.66
Paulistas (MG),66.96,5.91,80.79,91.38,97.03,72.44,2155,2.16,67.39,12.16,21.86,32.22,321.22,35.66
Pavão (MG),55,9.56,85.15,87.47,98.75,73.77,3275,2.76,56.59,11.62,25.23,31.93,333.55,30.87
Peçanha (MG),64.88,4.66,75.44,82.82,90.67,72.23,7437,2.46,58.1,9.55,21.39,32.16,404.21,25.6
Pedra Azul (MG),53.14,9.98,80.29,93.14,98.66,72.79,8285,2.29,57.11,8.6,21.99,34.69,327.18,34.64
Pedra Bonita (MG),73.22,0.59,96.2,100,94.39,69.41,3188,2.38,54.9,6.04,15.84,25.87,256.67,40.94
Pedra do Anta (MG),58.73,4.12,99.83,97.21,99.79,74.26,1470,1.75,51.3,13.94,20.88,25.8,418.07,24.36
Pedra do Indaiá (MG),73.61,2.74,97.96,98.98,100,75.6,2166,1.88,43.68,11.05,11.52,41.14,578.46,5.16
Pedra Dourada (MG),64.15,7.12,99.49,99.71,99.66,74.64,968,2.48,50.38,8.12,14.02,33.08,406.3,24.78
Pedralva (MG),63.16,4.05,98.46,100,99.86,73.39,5129,1.97,48.06,9.26,9.48,36.54,541.01,17.94
Pedras de Maria da Cruz (MG),56.04,9.06,73.55,81.58,98.84,72.22,3678,2.36,56,7.16,25.48,31.75,268.27,33.61
Pedrinópolis (MG),65.74,4.15,78.3,99.2,99.63,76.29,1657,2.06,46.09,8.83,10.82,48.2,702.77,4.43
Pedro Leopoldo (MG),68.72,8.31,99.28,99,99.9,76.33,29631,1.75,41.23,7.51,5.61,58.32,721.11,5.53
Pedro Teixeira (MG),53.41,2.87,93.96,100,98.69,72.61,689,1.72,44.07,8.35,12.18,35.14,309.25,24.67
Pequeri (MG),63.72,2.13,100,99.63,98.46,77.05,1467,1.46,45.52,10.68,8.73,48.16,593.92,5.08
Pequi (MG),69,4.79,97.17,96.01,99.86,73.47,2033,2.19,48.92,11.11,8.92,40.61,522.22,9.54
Perdigão (MG),77.78,1.38,99.5,97.87,100,75.6,4957,1.9,44.68,7.2,7.21,48.08,668.59,1.18
Perdizes (MG),72.14,2.33,96.14,99.94,99.74,77.8,7226,2.56,44.6,5.66,8.73,41.29,861.29,4.85
Perdões (MG),62.85,5.91,98.67,99.5,100,77.69,9407,1.64,43.58,9.39,7.92,47.19,663.06,7.45
Periquito (MG),52.47,10.54,95.09,75.98,98.51,75.34,2413,2.12,61.12,9.34,19.24,36.7,320.07,23.57
Pescador (MG),50.11,10.19,94.3,96.91,98.63,74.85,1395,2.32,61,11.12,21.31,34.52,367.74,30.26
Piau (MG),61.52,3.43,97.96,99.43,100,74.42,1320,1.85,45.84,13.02,14.62,28.95,449.68,13.26
Piedade de Caratinga (MG),65.51,6.48,99.5,99.7,99.96,71.37,3070,2.55,53.07,7.22,19.12,24.3,381.36,21.55
Piedade de Ponte Nova (MG),58.73,8.54,99.66,98.43,99.93,73.14,1659,2.56,51.68,9.75,17.18,29.45,368.71,13.59
Piedade do Rio Grande (MG),59.14,3.17,95.27,93.95,99.73,74.22,2104,1.85,47.94,12.87,14.73,30.93,428.95,19.21
Piedade dos Gerais (MG),62.93,3.41,85.22,99.01,99.47,75.42,2172,1.67,47.91,10.97,15.67,24.83,443.35,18.59
Pimenta (MG),71.07,3.43,98.89,99.18,100,74.93,4341,1.56,40.31,8.21,9.18,34.6,613.61,5.71
Pingo-D'Água (MG),56.96,8.9,98.88,98.49,98.45,69.63,1723,2.21,51.73,7.53,18.59,30.44,340.91,24.37
Pintópolis (MG),57.29,6.06,62.38,80.57,95.99,72.96,2534,2.81,64.67,8.1,19.52,29.84,260.14,41.84
Piracema (MG),57.19,2.59,95.87,99.44,99.34,73.54,2698,1.43,46.72,11.66,12.7,30.54,444.75,12.87
Pirajuba (MG),65.62,3.89,99.34,100,99.56,76.46,2187,2.56,43.35,6.74,9.55,47.18,838.37,6.13
Piranga (MG),51.27,4.76,95.01,98.22,98.55,72.96,6061,1.72,53.72,9.94,12.63,26.55,305.73,37.75
Piranguçu (MG),64.07,3.8,97.76,100,99.17,73.36,2443,1.55,45.89,9.81,11.53,39.27,504.1,9.33
Piranguinho (MG),66.39,5.43,98.58,99.48,100,75.45,3771,1.82,47.43,9.31,8.14,48.31,523.5,13.14
Pirapetinga (MG),61.22,6.04,98.9,99.26,99.96,75.45,4696,2.22,42.44,8.83,9.13,51.25,550.3,8.22
Pirapora (MG),68.88,10.59,97.57,98.23,99.61,74.65,25393,2.42,45.97,6.33,7.51,59.08,596.44,13.06
Piraúba (MG),64.34,2.74,99.69,98.4,99.22,75.56,5272,1.68,44.9,10.99,10.18,37.6,527.81,3.56
Pitangui (MG),68.24,4.99,88.84,99.36,100,77.22,12293,2.05,46.27,8.12,6.56,49.84,669,7.07
Piumhi (MG),70.26,3.47,99.15,99.78,99.92,77.7,16769,1.72,41.99,9.46,7.49,44.25,747.2,3.84
Planura (MG),69.2,5.38,99,98.97,98.61,76.1,5155,2.29,42.09,6.23,8.9,45.4,669.6,5.32
Poço Fundo (MG),70.45,2.47,99.4,99.23,99.55,76.95,8517,2.02,42.48,9.84,7.32,32.13,644.47,6.26
Poços de Caldas (MG),71.23,5.67,98.57,99.89,99.92,77.31,82127,1.69,40.54,9.03,3.88,61.25,953.96,2.93
Pocrane (MG),54.28,2.77,94.72,97.44,99.49,72.91,3624,2.21,50.97,13.22,19.98,30.17,365.67,25.52
Pompéu (MG),69.34,5.72,91.9,99,98.73,75.05,13970,2.33,47.42,7.28,10.34,44.04,598.83,10.03
Ponte Nova (MG),66.64,8.3,98.16,98.72,99.59,75.9,28268,1.76,42.15,8.86,7.46,49.73,679.67,10.47
Ponto Chique (MG),74.5,11.8,62.77,86.17,97.65,72.81,1921,2.31,54.86,7.19,17.43,35.38,269.28,33.26
Ponto dos Volantes (MG),62.93,9.53,62.01,92.87,96.44,71.88,4455,2.68,69.63,9.63,30.31,28.47,267.46,40.44
Porteirinha (MG),62.25,7.74,69.43,89.05,98.49,72.74,16491,1.83,46.12,8.32,22.95,36.52,320.48,32
Porto Firme (MG),59.21,5.6,93.19,100,99.25,73.26,4603,1.64,45.08,10.5,14.31,32.67,366.49,23.3
Poté (MG),60.09,7.12,77.51,85.66,97.99,73.52,6268,2.63,61.08,10.94,27.75,30.57,303.44,31.29
Pouso Alegre (MG),71.71,5.49,99,99.73,99.92,77.33,69299,1.81,39.65,7.29,4.21,61.9,878.26,4.1
